Date,accumulated_deaths,tests,accumulated_cases
2020-01-22,0,0,0
2020-01-23,0,0,0
2020-01-24,0,0,0
2020-01-25,0,0,0
2020-01-26,0,0,0
2020-01-27,0,0,0
2020-01-28,0,0,0
2020-01-29,0,0,0
2020-01-30,0,0,0
2020-01-31,0,0,0
2020-02-01,0,0,0
2020-02-02,0,0,0
2020-02-03,0,0,0
2020-02-04,0,0,0
2020-02-05,0,0,0
2020-02-06,0,0,0
2020-02-07,0,0,0
2020-02-08,0,0,0
2020-02-09,0,0,0
2020-02-10,0,0,0
2020-02-11,0,0,0
2020-02-12,0,0,0
2020-02-13,0,0,0
2020-02-14,0,0,0
2020-02-15,0,0,0
2020-02-16,0,0,0
2020-02-17,0,0,0
2020-02-18,0,0,0
2020-02-19,0,0,0
2020-02-20,0,0,0
2020-02-21,0,0,0
2020-02-22,0,0,0
2020-02-23,0,0,0
2020-02-24,0,0,0
2020-02-25,0,0,0
2020-02-26,0,0,0
2020-02-27,0,0,0
2020-02-28,0,0,0
2020-02-29,0,0,0
2020-03-01,0,0,0
2020-03-02,0,1850,0
2020-03-03,0,0,0
2020-03-04,0,0,0
2020-03-05,1,0,0
2020-03-06,1,0,0
2020-03-07,1,0,0
2020-03-08,2,0,0
2020-03-09,2,0,0
2020-03-10,3,0,0
2020-03-11,4,3150,0
2020-03-12,4,0,0
2020-03-13,11,0,0
2020-03-14,13,0,0
2020-03-15,14,0,0
2020-03-16,14,0,0
2020-03-17,27,0,0
2020-03-18,28,0,0
2020-03-19,41,0,0
2020-03-20,54,0,0
2020-03-21,75,0,0
2020-03-22,98,45000,0
2020-03-23,120,0,0
2020-03-24,122,30000,0
2020-03-25,153,0,0
2020-03-26,191,0,0
2020-03-27,231,89012,0
2020-03-28,264,8988,0
2020-03-29,300,5000,0
2020-03-30,359,0,0
2020-03-31,433,0,0
2020-04-01,488,19700,0
2020-04-02,536,8630,0
2020-04-03,591,6450,0
2020-04-04,666,7660,0
2020-04-05,715,4560,0
2020-04-06,765,4500,0
2020-04-07,821,4929,0
2020-04-08,895,0,0
2020-04-09,948,11071,0
2020-04-10,1002,6250,0
2020-04-11,1036,5250,0
2020-04-12,1106,3800,0
2020-04-13,1138,2800,0
2020-04-14,1174,2400,0
2020-04-15,1239,3633,0
2020-04-16,1281,3767,0
2020-04-17,1327,5000,0
2020-04-18,1368,5000,0
2020-04-19,1393,4863,0
2020-04-20,1429,3179,0
2020-04-21,1478,3112,0
2020-04-22,1509,3392,0
2020-04-23,1549,4306,0
2020-04-24,1589,5348,0
2020-04-25,1599,4700,0
2020-04-26,1610,4350,0
2020-04-27,1665,3250,0
2020-04-28,1699,3600,0
2020-04-29,1716,4000,0
2020-04-30,1737,5700,0
2020-05-01,1754,5300,0
2020-05-02,1762,4500,0
2020-05-03,1762,4220,0
2020-05-04,1784,2530,0
2020-05-05,1795,3653,0
2020-05-06,1805,3962,0
2020-05-07,1810,5735,0
2020-05-08,1823,5575,0
2020-05-09,1830,4548,0
2020-05-10,1833,3372,0
2020-05-11,1845,3218,0
2020-05-12,1867,4039,0
2020-05-13,1870,5232,0
2020-05-14,1872,6079,0
2020-05-15,1878,6111,0
2020-05-16,1879,5090,0
2020-05-17,1881,3995,0
2020-05-18,1886,2401,0
2020-05-19,1891,4339,0
2020-05-20,1892,5294,0
2020-05-21,1898,6299,0
2020-05-22,1903,2629,0
